"filename", "language", "JavaScript", "CSS", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateRateform.js", "JavaScript", 161, 0, 0, 0, 1, 13, 175
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\EditAttrform.js", "JavaScript", 90, 0, 0, 0, 0, 8, 98
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\EditDetail.js", "JavaScript", 289, 0, 0, 0, 6, 28, 323
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\EditFileform.js", "JavaScript", 195, 0, 0, 0, 6, 11, 212
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\EditRateform.js", "JavaScript", 162, 0, 0, 0, 3, 14, 179
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\Scholarship.js", "JavaScript", 38, 0, 0, 0, 0, 8, 46
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipCheck.js", "JavaScript", 306, 0, 0, 0, 3, 31, 340
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipCreate.js", "JavaScript", 127, 0, 0, 0, 5, 18, 150
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipEdit.js", "JavaScript", 118, 0, 0, 0, 3, 16, 137
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipList.js", "JavaScript", 257, 0, 0, 0, 4, 36, 297
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipRegister.js", "JavaScript", 366, 0, 0, 0, 9, 41, 416
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Status\Status.js", "JavaScript", 25, 0, 0, 0, 0, 3, 28
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Status\StatusList.js", "JavaScript", 120, 0, 0, 0, 3, 14, 137
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\context\WebContext.js", "JavaScript", 53, 0, 0, 0, 0, 7, 60
