"filename", "language", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewRate.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewRate.js", "JavaScript", 11, 0, 0, 0, 3, 14
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewSchedule.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewSchedule.js", "JavaScript", 6, 0, 0, 0, 3, 9
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewScheduleCreate.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewScheduleCreate.js", "JavaScript", 6, 0, 0, 0, 4, 10
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewScheduleEdit.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewScheduleEdit.js", "JavaScript", 6, 0, 0, 0, 4, 10
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileCheck.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileCheck.js", "JavaScript", 64, 0, 0, 0, 10, 74
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileEdit.css", "CSS", 0, 80, 0, 2, 13, 95
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileEdit.js", "JavaScript", 148, 0, 0, 0, 12, 160
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ReportInspect.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ReportInspect.js", "JavaScript", 6, 0, 0, 0, 4, 10
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipCheckForm.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipCheckForm.js", "JavaScript", 6, 0, 0, 0, 3, 9
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipEdit.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipEdit.js", "JavaScript", 6, 0, 0, 0, 4, 10
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListCreate.css", "CSS", 0, 139, 0, 9, 35, 183
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListCreate.js", "JavaScript", 79, 0, 0, 5, 29, 113
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListEdit.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListEdit.js", "JavaScript", 6, 0, 0, 0, 4, 10
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListRegister.css", "CSS", 0, 80, 0, 2, 6, 88
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListRegister.js", "JavaScript", 75, 0, 0, 0, 10, 85
"Total", "-", 1848, 1550, 14, 157, 587, 4156
