"filename", "language", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\App.js", "JavaScript", 21, 0, 0, 0, 5, 26
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\App.scss", "SCSS", 0, 0, 2176, 50, 379, 2605
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\components\LoginGoogle.js", "JavaScript", 147, 0, 0, 3, 15, 165
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin\AnnouncementLogin.js", "JavaScript", 25, 0, 0, 0, 3, 28
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin\NewsListlogin.js", "JavaScript", 60, 0, 0, 1, 12, 73
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnounceCreate.js", "JavaScript", 214, 0, 0, 1, 16, 231
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnounceEdit.js", "JavaScript", 213, 0, 0, 17, 14, 244
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnounceList.js", "JavaScript", 84, 0, 0, 2, 10, 96
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\Announcement.js", "JavaScript", 37, 0, 0, 1, 5, 43
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\Applicant.js", "JavaScript", 55, 0, 0, 0, 7, 62
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantCheckForm.js", "JavaScript", 291, 0, 0, 2, 42, 335
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantList.js", "JavaScript", 99, 0, 0, 5, 13, 117
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ScholarshipApplicant.js", "JavaScript", 84, 0, 0, 2, 16, 102
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\Interview.js", "JavaScript", 51, 0, 0, 0, 5, 56
