"filename", "language", "CSS", "JavaScript", "SCSS", "comment", "blank", "total"
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\App.js", "JavaScript", 0, 21, 0, 0, 5, 26
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\App.scss", "SCSS", 0, 0, 2176, 50, 379, 2605
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\components\LoginGoogle.js", "JavaScript", 0, 147, 0, 3, 15, 165
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin\AnnouncementLogin.js", "JavaScript", 0, 25, 0, 0, 3, 28
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin\NewsListlogin.js", "JavaScript", 0, 60, 0, 1, 12, 73
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnounceCreate.js", "JavaScript", 0, 214, 0, 1, 16, 231
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnounceEdit.js", "JavaScript", 0, 213, 0, 17, 14, 244
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnounceList.js", "JavaScript", 0, 84, 0, 2, 10, 96
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Announcement\Announcement.js", "JavaScript", 0, 37, 0, 1, 5, 43
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\Applicant.js", "JavaScript", 0, 55, 0, 0, 7, 62
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantCheckForm.js", "JavaScript", 0, 291, 0, 2, 42, 335
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantList.js", "JavaScript", 0, 99, 0, 5, 13, 117
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ScholarshipApplicant.js", "JavaScript", 0, 84, 0, 2, 16, 102
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\Interview.js", "JavaScript", 0, 51, 0, 0, 5, 56
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewRate.js", "JavaScript", 0, 110, 0, 10, 17, 137
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewSchedule.js", "JavaScript", 0, 59, 0, 1, 14, 74
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewScheduleCreate.js", "JavaScript", 0, 8, 0, 0, 5, 13
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewScheduleEdit.js", "JavaScript", 0, 8, 0, 0, 5, 13
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Interview\IntervieweeList.js", "JavaScript", 0, 41, 0, 8, 8, 57
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Member\Member.js", "JavaScript", 0, 40, 0, 1, 8, 49
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Member\MemberList.js", "JavaScript", 0, 37, 0, 1, 13, 51
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Profile\FormProfile.js", "JavaScript", 0, 144, 0, 111, 17, 272
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Profile\Profile.js", "JavaScript", 0, 213, 0, 6, 23, 242
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\contents\Profile\ProfileCheck.js", "JavaScript", 0, 68, 0, 3, 7, 78
