"filename", "language", "CSS", "JavaScript", "JSON", "SCSS", "comment", "blank", "total"
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modal\ConfirmModal.css", "CSS", -43, 0, 0, 0, 0, -6, -49
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modal\ConfirmModal.js", "JavaScript", 0, -20, 0, 0, -11, -3, -34
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modal\ImageModal.css", "CSS", -36, 0, 0, 0, 0, -5, -41
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modal\ImageModal.js", "JavaScript", 0, -26, 0, 0, 0, -2, -28
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\AlertModal.css", "CSS", 14, 0, 0, 0, 10, 6, 30
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\AlertModal.js", "JavaScript", 0, 29, 0, 0, 0, 4, 33
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\ConfirmModal.css", "CSS", 0, 0, 0, 0, 48, 1, 49
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\ConfirmModal.js", "JavaScript", 0, 20, 0, 0, 11, 3, 34
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\ImageModal.css", "CSS", 36, 0, 0, 0, 0, 5, 41
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\ImageModal.js", "JavaScript", 0, 26, 0, 0, 0, 2, 28
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\LoginPage.js", "JavaScript", 0, -1, 0, 0, -1, -4, -6
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\MainPage.css", "CSS", -85, 0, 0, 0, 110, 6, 31
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\MainPage.js", "JavaScript", 0, -123, 0, 0, -7, -18, -148
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\AnnouncementCreate.css", "CSS", -124, 0, 0, 0, 158, -13, 21
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\AnnouncementCreate.js", "JavaScript", 0, -22, 0, 0, 0, -5, -27
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\AnnouncementEdit.css", "CSS", -16, 0, 0, 0, 16, 0, 0
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\AnnouncementEdit.js", "JavaScript", 0, 20, 0, 0, 0, 3, 23
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\Assessment.js", "JavaScript", 0, 0, 0, 0, 43, 0, 43
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewRate.css", "CSS", -9, 0, 0, 0, 9, 1, 1
