"filename", "language", "SCSS", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\components\StatusList.js", "JavaScript", 0, -44, 0, 0, 0, 0, -4, -4, -52
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement.js", "JavaScript", 0, -27, 0, 0, 0, 0, 0, -4, -31
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin.js", "JavaScript", 0, -20, 0, 0, 0, 0, 0, -3, -23
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin\AnnouncementLogin.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin\NewsListlogin.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 13, 73
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement\Announcement.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnouncementCreate.js", "JavaScript", 0, 176, 0, 0, 0, 0, 8, 10, 194
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnouncementEdit.js", "JavaScript", 0, 152, 0, 0, 0, 0, 1, 20, 173
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement\NewsList.js", "JavaScript", 0, 81, 0, 0, 0, 0, 2, 13, 96
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Applicant.js", "JavaScript", 0, -41, 0, 0, 0, 0, 0, -4, -45
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Applicant\Applicant.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 5, 55
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantCheckForm.js", "JavaScript", 0, 291, 0, 0, 0, 0, 0, 39, 330
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantList.js", "JavaScript", 0, 39, 0, 0, 0, 0, 4, 14, 57
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview.js", "JavaScript", 0, -42, 0, 0, 0, 0, 0, -5, -47
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview\Interview.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 7, 56
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewRate.js", "JavaScript", 0, 114, 0, 0, 0, 0, 9, 19, 142
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewSchedule.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 7, 61
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewScheduleCreate.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewScheduleEdit.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview\IntervieweeList.js", "JavaScript", 0, 61, 0, 0, 0, 0, 6, 14, 81
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Newcontents\Member.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 11, 49
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Newcontents\MemberList.js", "JavaScript", 0, 45, 0, 0, 0, 0, 3, 15, 63
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile.js", "JavaScript", 0, -83, 0, 0, 0, 0, 0, -10, -93
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile\FormProfile.js", "JavaScript", 0, 151, 0, 0, 0, 0, 101, 18, 270
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile\Profile.js", "JavaScript", 0, 102, 0, 0, 0, 0, 1, 12, 115
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile\ProfileCheck.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 13, 81
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile\ProfileCreate.js", "JavaScript", 0, 180, 0, 0, 0, 0, 100, 15, 295
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Profile\ProfileEdit.js", "JavaScript", 0, 195, 0, 0, 0, 0, 98, 23, 316
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Report.js", "JavaScript", 0, -53, 0, 0, 0, 0, 0, -4, -57
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Report\Report.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 5, 62
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Report\ReportInspect.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 9, 77
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Report\ReportList.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\RoleSetting.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, -8, -39
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\RoleSetting\RoleList.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 12, 80
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\RoleSetting\RoleSetting.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 9, 44
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship.js", "JavaScript", 0, -28, 0, 0, 0, 0, 0, -7, -35
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateDetail.js", "JavaScript", 0, 111, 0, 0, 0, 0, 5, 21, 137
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateFileform.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 9, 95
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\CreateRateform.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 7, 94
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\Scholarship.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 8, 44
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipCreate.js", "JavaScript", 0, 57, 0, 0, 0, 0, 14, 18, 89
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipEdit.js", "JavaScript", 0, 289, 0, 0, 0, 0, 13, 43, 345
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipList.js", "JavaScript", 0, 135, 0, 0, 0, 0, 3, 25, 163
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipRegister.js", "JavaScript", 0, 295, 0, 0, 0, 0, 1, 33, 329
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Status.js", "JavaScript", 0, -20, 0, 0, 0, 0, 0, -3, -23
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Status\Status.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Status\StatusList.js", "JavaScript", 0, 46, 0, 0, 0, 0, 4, 9, 59
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\context\WebContext.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 8, 51
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\controller\Controllers.js", "JavaScript", 0, 22, 0, 0, 0, 0, 1, 5, 28
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\controller\LoginController.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\controller\MainController.js", "JavaScript", 0, 74, 0, 0, 0, 0, 2, 9, 85
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\data\test.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\AlertModal.css", "CSS", 0, 0, -14, 0, 0, 0, 20, -2, 4
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\AlertModal.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\ConfirmModal.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\LoginPage.css", "CSS", 0, 0, -62, 0, 0, 0, -5, -1, -68
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\LoginPage.js", "JavaScript", 0, -4, 0, 0, 0, 0, 0, -4, -8
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\MainPage.css", "CSS", 0, 0, -89, 0, 0, 0, -121, -26, -236
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\MainPage.js", "JavaScript", 0, -75, 0, 0, 0, 0, -10, 5, -80
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\AnnouncementCreate.css", "CSS", 0, 0, -19, 0, 0, 0, -171, -12, -202
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\AnnouncementCreate.js", "JavaScript", 0, -128, 0, 0, 0, 0, -1, -12, -141
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\AnnouncementEdit.css", "CSS", 0, 0, -127, 0, 0, 0, -29, -25, -181
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\AnnouncementEdit.js", "JavaScript", 0, -155, 0, 0, 0, 0, -1, -19, -175
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\Assessment.js", "JavaScript", 0, 0, 0, 0, 0, 0, -43, 0, -43
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewRate.css", "CSS", 0, 0, -70, 0, 0, 0, -14, -16, -100
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewRate.js", "JavaScript", 0, -63, 0, 0, 0, 0, 0, -4, -67
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewSchedule.css", "CSS", 0, 0, -65, 0, 0, 0, -3, -10, -78
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewSchedule.js", "JavaScript", 0, -43, 0, 0, 0, 0, 0, -7, -50
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewScheduleCreate.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewScheduleCreate.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, -4, -13
