"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modal\ImageModal.js", "JavaScript", 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\LoginPage.css", "CSS", 0, 62, 0, 0, 0, 5, 1, 68
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\LoginPage.js", "JavaScript", 49, 0, 0, 0, 0, 1, 17, 67
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\MainPage.css", "CSS", 0, 174, 0, 0, 0, 11, 20, 205
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\MainPage.js", "JavaScript", 420, 0, 0, 0, 0, 20, 43, 483
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\AnnouncementCreate.css", "CSS", 0, 143, 0, 0, 0, 13, 25, 181
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\AnnouncementCreate.js", "JavaScript", 150, 0, 0, 0, 0, 1, 17, 168
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\AnnouncementEdit.css", "CSS", 0, 143, 0, 0, 0, 13, 25, 181
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\AnnouncementEdit.js", "JavaScript", 135, 0, 0, 0, 0, 1, 16, 152
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewRate.css", "CSS", 0, 79, 0, 0, 0, 5, 15, 99
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewRate.js", "JavaScript", 69, 0, 0, 0, 0, 0, 10, 79
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewSchedule.css", "CSS", 0, 65, 0, 0, 0, 3, 10, 78
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewSchedule.js", "JavaScript", 46, 0, 0, 0, 0, 0, 7, 53
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewScheduleCreate.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewScheduleCreate.js", "JavaScript", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewScheduleEdit.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewScheduleEdit.js", "JavaScript", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileCheck.css", "CSS", 0, 88, 0, 0, 0, 33, 8, 129
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileCheck.js", "JavaScript", 59, 0, 0, 0, 0, 0, 12, 71
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileEdit.css", "CSS", 0, 106, 0, 0, 0, 5, 22, 133
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileEdit.js", "JavaScript", 181, 0, 0, 0, 0, 0, 14, 195
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ReportInspect.css", "CSS", 0, 9472, 0, 0, 0, 514, 512, 10498
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ReportInspect.js", "JavaScript", 69, 0, 0, 0, 0, 0, 8, 77
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipCheckForm.css", "CSS", 0, 155, 0, 0, 0, 8, 18, 181
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipCheckForm.js", "JavaScript", 254, 0, 0, 0, 0, 0, 16, 270
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipEdit.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipEdit.js", "JavaScript", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListCreate.css", "CSS", 0, 133, 0, 0, 0, 14, 34, 181
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListCreate.js", "JavaScript", 141, 0, 0, 0, 0, 5, 36, 182
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListEdit.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListEdit.js", "JavaScript", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListRegister.css", "CSS", 0, 117, 0, 0, 0, 6, 14, 137
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListRegister.js", "JavaScript", 241, 0, 0, 0, 0, 0, 12, 253
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListRegister2.css", "CSS", 0, 80, 0, 0, 0, 6, 6, 92
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListRegister2.js", "JavaScript", 76, 0, 0, 0, 0, 0, 6, 82
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\test.css", "CSS", 0, 30, 0, 0, 0, 0, 3, 33
"Total", "-", 2952, 12076, 39, 29265, 46, 920, 1292, 46590
