"filename", "language", "CSS", "comment", "blank", "total"
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ReportInspect.css", "CSS", 9435, 511, 510, 10456
"Total", "-", 9435, 511, 510, 10456
